,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
Elastic Container Service for Kubernetes($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rekognition($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardened Red Hat Enterprise 7 (RHEL 7)($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step Functions($),*******,,*******,,,*****,,,****,,,,,,,,,****,,*******,,,,,*******,*******,,,,,*******,,*******,,,****,*******,,,,*******,*******,,,*******,,**,,,,
Glacier($),*******,,*******,,,*****,,,***,,,,,,,,,***,,****,***,,,,*******,*******,,,,,*******,,*******,,,*****,*******,,,,*******,*******,,,*******,,**,,,,
DynamoDB($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backup($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppFlow($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route 53($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQS($),*******,,*******,,,*******,,,*,,,,,,,,,*******,,****,******,,,,*******,*******,,,,,*******,,*******,,,*******,*******,,,,,*******,,,*******,,,,,,
EC2 Container Registry (ECR)($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Management Service($),*******,,*******,,,*******,,,***,,,,,,,,,*******,,****,*******,,,,*******,*******,,,,,*******,,*******,,,*******,*******,,,,,*******,,,*******,,*,,,,
API Gateway($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CloudFront($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athena($),*******,,*******,,,*******,,,**,,,,,,,,,*******,,***,***,,,,****,*****,,,,,*******,,*******,,,*******,****,,,,****,*******,,,****,,,,,,
Secrets Manager($),*******,,*******,,,****,,,*,,,,,,,,,***,,***,***,,,,*******,*******,,,,,*******,,*******,,,****,*******,,,,*******,*******,,,*******,,,,,,
CloudWatch Events($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cognito($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-Ray($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Explorer($),*****,,***,,,****,,,******,,,,,,,,,***,,*******,*,,,,*******,*******,,,,,,,,,,****,*******,,,,*******,,,,*******,,***,,,,
Service Catalog($),*******,,*******,,,*******,,,,,,,,,,,,*****,,,***,,,,*******,*******,,,,,*******,,*******,,,*******,*******,,,,,*******,,,*******,,,,,,
Systems Manager($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*******,,,,,,,,
SES($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simple Workflow Service($),*******,,*******,,,*****,,,***,,,,,,,,,***,,*******,,,,,*******,*******,,,,,*******,,*******,,,****,*******,,,,*******,*******,,,*******,,**,,,,
Direct Connect($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CloudTrail($),,,**,,,,,,*******,,,,,,,,,,,****,***,,,,**,**,,,,,,,*,,,,,,,,***,,,,**,,*******,,,,
CodeArtifact($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*******,,,
Elastic Container Service($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migration Hub Refactor Spaces($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Service($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
